Seq,DocuTitle,Country,TestPeriod,TestTareget,Antibody_Sample,Origin
11,SARS-CoV-2 antibody prevalence in blood in a large school community subject to a Covid-19 outbreak: a cross-sectional study,칠레,2020년 5월,"학생 100/1009, 교직원 39/235","overall seroprevalence 9.9% (학생), 16.6% (교직원) ","Torres JP, Piñera C, De La Maza V,et al. SARS-CoV-2 antibody prevalence in blood in a large school community subject to a Covid-19 outbreak: a cross-sectional study. Clin Infect Dis. 2020 Jul 10:ciaa955. doi: 10.1093/cid/ciaa955."
12,Searching for COVID-19 Antibodies in Czech Children?A Needle in the Haystack,체코,2020년 7-8월,소아과 병원 0/200,>0.5%,"Bloomfield M, Pospisilova I, Cabelova T, Sediva A, Ibrahimova M, Borecka K, Magner M. Searching for COVID-19 Antibodies in Czech Children-A Needle in the Haystack. Front Pediatr. 2020 Nov 12;8:597736. doi: 10.3389/fped.2020.597736."
13,Estimation of SARS-CoV-2 Infection Fatality Rate by Real-time Antibody Screening of Blood Donors,덴마크,2020년 4-5월,혈액 기증자 412/20640,0.019,"Erikstrup C, Hother CE, Pedersen OBV, et al. Estimation of SARS-CoV-2 Infection Fatality Rate by Real-time Antibody Screening of Blood Donors. Clin Infect Dis. 2021;72(2):249-253. doi:10.1093/cid/ciaa849"
14,Risk of COVID-19 in health-care workers in Denmark: an observational cohort study,덴마크,2020년 4월,의료진 1. IgG (808/28792) 2. IgM (768/28792) 3. IgG or IgM (1163/28792) 혈액 기증 1. IgG (86/4672) 2. IgM (92/4672) 3. IgG or IgM (142/4672),의료진 1. IgG (2.81%) 2. IgM (1.43%) 3. IgG or IgM (4.04%) 혈액 기증 1. IgG (1.97%) 2. IgM (1.84%) 3. IgG or IgM (3.04%),"Iversen K, Bundgaard H, Hasselbalch RB, et al. Risk of COVID-19 in health-care workers in Denmark: an observational cohort study [published correction appears in Lancet Infect Dis. 2020 Oct;20(10):e250]. Lancet Infect Dis. 2020;20(12):1401-1408. doi:10.1016/S1473-3099(20)30589-2"
15,Seroprevalence of SARS-CoV-2 IgG antibodies in two regions of Estonia (KoroSero-EST-1),"에스토니아/탈린, 사레마","2020년 5-7월 ",의료진 73/1960,"1.5 % 탈린, 6.3% 사레마","Jogi P, Soeorg H, Ingerainen D, Soots M, et al. Seroprevalence of SARS-CoV-2 IgG antibodies in two regions of Estonia (KoroSero-EST-1). medRxiv. 2020 Jan 1. doi:10.1101/2020.10.21.20216820"
16,Estimation of SARS-CoV-2 Infection Fatality Rate by Real-time Antibody Screening of Blood Donors,핀란드,"2020년 4-5월 ",혈액 기증자 412/20640,0.019,"Erikstrup C, Hother CE, Pedersen OBV, et al. . Estimation of SARS-CoV-2 infection fatality rate by real-time antibody screening of blood donors. Clin Infect Dis 2020 doi:10.1093/cid/ciaa849"
17,Cluster of COVID-19 in Northern France: A Retrospective Closed Cohort Study,프랑스,"2020년 3-4월 ","학생, 교직원,학부모 171/661 ",0.03,"Fontanet A, Tondeur L, Madec Y, et al. . Cluster of COVID-19 in northern France: a retrospective closed cohort study. SSRN Journal 2020. DOI:10.2139/ssrn.3582749"
18,Prevalence of SARS-CoV-2 antibodies in France: results from nationwide serological surveillance,프랑스,"2020년 3-5월 ","전국 잔여 혈액 샘플 1. 3월 (1/3221) 2. 4월 (66/3084) 3. 5월 (87/2879) ","3월 0.41%, 4월 4.14%, 5월  4.93%","Le Vu S, Jones G, Anna F, et al. Prevalence of SARS-CoV-2 antibodies in France: results from nationwide serological surveillance. Nat Commun. 2021;12(1):3025. Published 2021 May 21. doi:10.1038/s41467-021-23233-6"
19,"Seroprevalence and correlates of SARS-CoV-2 neutralizing antibodies: Results from a population-based study in Bonn, Germany",독일/본,"2020년 4-6월 ",Rhineland 코호트 구성원 46/4771,0.0097," Aziz NA, Corman VM, Antje KC. Seroprevalence and correlates of SARS-CoV-2 neutralizing antibodies: results from a population-based study in Bonn, Germany. MedRxiv 2020. doi:10.1101/2020.08.24.20181206"
20,Seroprevalence of SARS-CoV-2 antibodies among hospital workers in a German tertiary care center: A sequential follow-up study,독일,"2020년 3-7월 ",의료센터 직원 22/1253,0.018,"Brehm TT, Schwinge D, Lampalzer S, et al. Seroprevalence of SARS-CoV-2 antibodies among hospital workers in a German tertiary care center: A sequential follow-up study. Int J Hyg Environ Health. 2021;232:113671. doi:10.1016/j.ijheh.2020.113671"
21,"SARS-CoV-2 IgG seroprevalence in blood donors located in three different federal states, Germany, March to June 2020",독일,"2020년 3-6월 ",혈액 기증자 1. North Rhine-Westphalia 16/1700 2. Lower Saxony 7/576 3. Hesse 6/910,0.91% (0.58–1.24) 1. North Rhine-Westphalia 0.94%  2. Lower Saxony 1.22% 3. Hesse 0.66%,"Fischer B, Knabbe C, Vollmer T. SARS-CoV-2 IgG seroprevalence in blood donors located in three different federal states, Germany, March to June 2020. Euro Surveill. 2020;25(28):2001285. doi:10.2807/1560-7917.ES.2020.25.28.2001285"
22,"Repeated leftover serosurvey of SARS-CoV-2 IgG antibodies, Greece, March and April 2020",그리스,"2020년 3-4월 ",일반 인구 집단 잔여 혈액 24/6586,"3월 0.02%, 4월 0.25%","Bogogiannidou Z, Vontas A, Dadouli K, et al. Repeated leftover serosurvey of SARS-CoV-2 IgG antibodies, Greece, March and April 2020. Euro Surveill. 2020;25(31):2001369. doi:10.2807/1560-7917.ES.2020.25.31.2001369"
23,"Repeated Leftover Serosurvey of SARS-CoV-2 IgG Antibodies in Greece, May to August 2020",그리스,"2020년 5-8월 ",일반 인구 집단 잔여 혈액 89/20110,"5월 0.35%, 6월 0.19%, 7월 0.25%, 8월 0.35%","Bogogiannidou Z, Speletas M, Vontas A, et al. Repeated Leftover Serosurvey of SARS-CoV-2 IgG Antibodies in Greece, May to August 2020. Vaccines (Basel). 2021;9(5):504. Published 2021 May 13. doi:10.3390/vaccines9050504"
24,Seroprevalence study of SARS-CoV-2 infection in General Practice in Ireland,아일랜드,"2020년 6-7월 ",병원 환자/직원,"12.6% 환자, 11.1% 직원","O'Callaghan ME, Ryan E, Walsh C, et al. Seroprevalence study of SARS-CoV-2 infection in General Practice in Ireland. BJGP open. 2021 May 18. doi:10.3399/BJGPO.2021.0038"
25,Prevalence of COVID-19 and seroprevalence to SARS-CoV-2 in a rheumatologic patient population from a tertiary referral clinic in Israel,이스라엘,"2020년 4월 ",류머티즘 환자 5/242,0.0207,"Eviatar T, Elalouf O, Furer V, et al. Prevalence of COVID‐19 and seroprevalence to SARS‐CoV‐2 in a rheumatologic patient population from a tertiary referral clinic in Israel. Internal Medicine Journal. 2021 May;51(5):682-690. doi:10.1111/imj.15202"
26,SARS-CoV-2 seroprevalence trends in healthy blood donors during the COVID-19 outbreak in Milan,이탈리아,"2020년 2-4월 ",혈액 기증자 32/120,"2.7% 첫째주, 5.2% 마지막 3주","Valenti L, Bergna A, Pelusi S, et al. SARS-CoV-2 seroprevalence trends in healthy blood donors during the COVID-19 outbreak in Milan. Blood Transfus. 2021;19(3):181-189. doi:10.2450/2021.0324-20"
27,Difference in SARS-CoV-2 Antibody Status Between Patients With Cancer and Health Care Workers During the COVID-19 Pandemic in Japan,일본/도쿄,"2020년 8-10월 ",암센터 1. 의료진 8/1190 2. 환자 5/500,"의료진 0.67%, 환자 1%","Yazaki S, Yoshida T, Kojima Y, et al. Difference in SARS-CoV-2 Antibody Status Between Patients With Cancer and Health Care Workers During the COVID-19 Pandemic in Japan. JAMA oncology. 2021 May 28. e212159 doi:10.1001/jamaoncol.2021.2159"
28,Prevalence of SARS-CoV-2 infection in the Luxembourgish population: the CON-VINCE study.,룩셈부르크,"2020년 4-5월 ",일반 인구 집단 35/1862,0.0197,"Snoeck CJ, Vaillant M, Abdelrahman T. Prevalence of SARS-CoV-2 infection in the Luxembourgish population: the CON-VINCE study. MedRxiv 2020. doi:10.1101/2020.05.11.20092916"
29,SARS-CoV-2 IgG Antibodies Seroprevalence and Sera Neutralizing Activity in MEXICO: A National Cross-Sectional Study during 2020,멕시코,"2020년 2-9월; 10-12월 ",전국 잔여 혈액 샘플 4488/24273,"3.5% 2월, 33.5% 12월 ","Muñoz-Medina JE, Grajales-Muñiz C, Salas-Lais AG, et al. SARS-CoV-2 IgG Antibodies Seroprevalence and Sera Neutralizing Activity in MEXICO: A National Cross-Sectional Study during 2020. Microorganisms. 2021;9(4):850. Published 2021 Apr 15. doi:10.3390/microorganisms9040850"
30,"Prevalence of SARS-CoV-2 in Spain (ENE-COVID): a nationwide, population-based seroepidemiological study",스페인,2020년 4-5월,전국민 대상 혈액 샘플 51958,0.046,"Pollán M, Pérez-Gómez B, Pastor-Barriuso R, et al. Prevalence of SARS-CoV-2 in Spain (ENE-COVID): a nationwide, population-based seroepidemiological study. Lancet. 2020;396(10250):535-544. doi:10.1016/S0140-6736(20)31483-5"
31,"Seroprevalence of anti-SARS-CoV-2 IgG antibodies in Geneva, Switzerland (SEROCoV-POP): a population-based study",스위스,2020년 4-5월,SEROCoV-POP 표본 219/2766,"첫쨰주 4.8%, 2주 8.5%, 3주 10.9%, 4주 6.6%, 5주 10.8%","Stringhini S, Wisniak A, Piumatti G, et al. Seroprevalence of anti-SARS-CoV-2 IgG antibodies in Geneva, Switzerland (SEROCoV-POP): a population-based study. Lancet. 2020;396(10247):313-319. doi:10.1016/S0140-6736(20)31304-0"
32,Estimates of the rate of infection and asymptomatic COVID-19 disease in a population sample from SE England,영국,"2020년 4-6월 ",TwinsUK 코호트 51/431,0.12,"Wells PM, Doores KJ, Couvreur S, et al. Estimates of the rate of infection and asymptomatic COVID-19 disease in a population sample from SE England. J Infect. 2020;81(6):931-936. doi:10.1016/j.jinf.2020.10.011"
33,"Change in Donor Characteristics and Antibodies to SARS-CoV-2 in Donated Blood in the US, June-August 2020",미국,"2020년 6-8월 ",혈액 기증자 17336/953926,0.0182,"Dodd RY, Xu M, Stramer SL. Change in Donor Characteristics and Antibodies to SARS-CoV-2 in Donated Blood in the US, June-August 2020. JAMA. 2020;324(16):1677-1679. doi:10.1001/jama.2020.18598"
34,Prevalence of SARS-CoV-2 Antibodies in Health Care Personnel in the New York City Area,미국/뉴욕,"2020년 4-6월 ",의료진 5523/40329,0.137,"Moscola J, Sembajwe G, Jarrett M, et al. Prevalence of SARS-CoV-2 Antibodies in Health Care Personnel in the New York City Area [published correction appears in JAMA. 2020 Dec 8;324(22):2328] [published correction appears in JAMA. 2020 Dec 8;324(22):2328]. JAMA. 2020;324(9):893-895. doi:10.1001/jama.2020.14765"
35,"Seroprevalence of SARS-CoV-2-Specific Antibodies Among Adults in Los Angeles County, California, on April 10-11, 2020",미국/LA,"2020년 4월 ",LA 주민 35/863,0.0406,"Sood N, Simon P, Ebner P, et al. Seroprevalence of SARS-CoV-2-Specific Antibodies Among Adults in Los Angeles County, California, on April 10-11, 2020. JAMA. 2020;323(23):2425-2427. doi:10.1001/jama.2020.8279"
