tDate,BetweenAge18_23,BetweenAge24_29
2020-07-30,0,2
2020-07-31,1,4
2020-08-02,1,4
2020-08-03,1,3
2020-08-04,7,2
2020-08-05,4,3
2020-08-06,6,9
2020-08-07,0,3
2020-08-08,2,5
2020-08-09,2,5
2020-08-10,2,2
2020-08-11,3,3
2020-08-12,1,4
2020-08-13,8,7
2020-08-14,9,8
2020-08-15,15,19
2020-08-16,29,18
2020-08-17,17,10
2020-08-18,9,10
2020-08-19,15,17
2020-08-20,26,20
2020-08-21,24,25
2020-08-22,35,27
2020-08-23,11,27
2020-08-24,13,23
2020-08-25,19,29
2020-08-26,15,27
2020-08-27,34,30
2020-08-28,16,19
2020-08-29,15,21
2020-08-30,19,28
2020-08-31,25,23
2020-09-01,15,17
2020-09-02,17,28
2020-09-03,11,13
2020-09-04,12,9
2020-09-05,6,10
2020-09-06,7,12
2020-09-07,4,11
2020-09-08,5,8
2020-09-09,6,4
2020-09-10,4,8
2020-09-11,8,14
2020-09-12,4,13
2020-09-13,9,17
2020-09-14,4,13
2020-09-15,2,7
2020-09-16,6,10
2020-09-17,10,17
2020-09-18,9,9
2020-09-19,4,3
2020-09-20,5,3
2020-09-21,12,9
2020-09-22,4,3
2020-09-23,0,9
2020-09-24,3,13
2020-09-25,8,6
2020-09-26,3,7
2020-09-27,6,8
2020-09-28,1,5
2020-09-29,4,5
2020-09-30,5,6
2020-10-01,3,5
2020-10-02,2,4
2020-10-03,1,5
2020-10-04,6,0
2020-10-05,13,6
2020-10-06,26,5
2020-10-07,4,5
2020-10-08,3,3
2020-10-09,5,5
2020-10-10,4,8
2020-10-11,3,8
2020-10-12,18,2
2020-10-13,10,11
2020-10-14,11,22
2020-10-15,6,13
2020-10-16,3,6
2020-10-17,1,6
2020-10-18,5,9
2020-10-19,9,5
2020-10-20,5,9
2020-10-21,4,9
2020-10-22,4,15
2020-10-23,9,5
2020-10-24,2,10
2020-10-25,4,7
2020-10-26,7,15
2020-10-27,9,7
2020-10-28,5,17
2020-10-29,5,9
2020-10-30,9,10
2020-10-31,8,15
2020-11-01,16,14
2020-11-02,7,5
2020-11-03,4,15
2020-11-04,5,14
2020-11-05,10,13
2020-11-06,10,16
2020-11-07,3,9
2020-11-08,4,5
2020-11-09,8,11
2020-11-10,6,17
2020-11-11,6,16
2020-11-12,12,19
2020-11-13,14,16
2020-11-14,18,21
2020-11-15,11,18
2020-11-16,20,19
2020-11-17,19,21
2020-11-18,15,30
2020-11-19,29,31
2020-11-20,41,29
2020-11-21,38,79
2020-11-22,30,41
2020-11-23,18,27
2020-11-24,36,32
2020-11-25,29,32
2020-11-26,87,58
2020-11-27,26,66
2020-11-28,37,50
2020-11-29,41,62
2020-11-30,32,37
2020-12-01,44,47
2020-12-02,50,51
2020-12-03,60,61
2020-12-04,60,63
2020-12-05,54,58
2020-12-06,34,47
2020-12-07,39,53
2020-12-08,39,43
2020-12-09,29,46
2020-12-10,33,53
2020-12-11,40,54
2020-12-12,48,65
2020-12-13,51,76
2020-12-14,51,65
2020-12-15,60,61
2020-12-16,83,90
2020-12-17,46,74
2020-12-18,51,91
2020-12-19,66,80
2020-12-20,71,83
2020-12-21,44,65
2020-12-22,50,77
2020-12-23,43,72
2020-12-24,57,87
2020-12-25,71,107
2020-12-26,60,90
2020-12-27,48,81
2020-12-28,39,53
2020-12-29,70,94
2020-12-30,51,81
2020-12-31,51,58
2021-01-01,64,78
2021-01-02,56,66
2021-01-03,42,53
2021-01-04,67,74
2021-01-05,44,63
2021-01-06,53,69
2021-01-07,53,86
2021-01-08,43,61
2021-01-09,57,57
2021-01-10,47,52
2021-01-11,22,29
2021-01-12,25,51
2021-01-13,38,41
2021-01-14,34,41
2021-01-15,29,43
2021-01-16,22,39
2021-01-17,29,52
2021-01-18,25,32
2021-01-19,18,37
2021-01-20,31,35
2021-01-21,24,31
2021-01-22,24,36
2021-01-23,22,35
2021-01-24,26,48
2021-01-25,35,30
2021-01-26,41,37
2021-01-27,38,43
2021-01-28,37,35
2021-01-29,27,27
2021-01-30,33,29
2021-01-31,27,23
2021-02-01,19,27
2021-02-02,32,27
2021-02-03,56,47
2021-02-04,27,33
2021-02-05,16,20
2021-02-06,24,37
2021-02-07,25,32
2021-02-08,14,23
2021-02-09,21,23
2021-02-10,35,31
2021-02-11,28,48
2021-02-12,29,26
2021-02-13,23,38
2021-02-14,25,28
2021-02-15,28,25
2021-02-16,28,44
2021-02-17,37,64
2021-02-18,25,65
2021-02-19,44,58
2021-02-20,29,36
2021-02-21,39,37
2021-02-22,33,33
2021-02-23,26,38
2021-02-24,37,46
2021-02-25,27,43
2021-02-26,32,36
2021-02-27,23,49
2021-02-28,28,31
2021-03-01,28,28
2021-03-02,33,29
2021-03-03,37,36
2021-03-04,37,42
2021-03-05,27,38
2021-03-06,35,58
2021-03-07,26,53
2021-03-08,16,39
2021-03-09,16,41
2021-03-10,25,39
2021-03-11,21,40
2021-03-12,28,48
2021-03-13,23,33
2021-03-14,28,50
2021-03-15,20,40
2021-03-16,18,24
2021-03-17,39,37
2021-03-18,33,48
2021-03-19,24,29
2021-03-20,36,53
2021-03-21,34,42
2021-03-22,25,39
2021-03-23,27,29
2021-03-24,31,44
2021-03-25,37,42
2021-03-26,47,41
2021-03-27,42,38
2021-03-28,38,57
2021-03-29,23,38
2021-03-30,41,39
2021-03-31,26,44
2021-04-01,43,62
2021-04-02,39,65
2021-04-03,47,46
2021-04-04,32,60
2021-04-05,29,42
2021-04-06,21,46
2021-04-07,46,64
2021-04-08,48,61
2021-04-09,45,62
2021-04-10,34,65
2021-04-11,47,51
2021-04-12,39,40
2021-04-13,45,35
2021-04-14,52,75
2021-04-15,45,74
2021-04-16,39,58
2021-04-17,43,62
2021-04-18,61,58
2021-04-19,21,44
2021-04-20,32,40
2021-04-21,49,77
2021-04-22,54,56
2021-04-23,46,80
2021-04-24,75,98
2021-04-25,42,78
2021-04-26,43,57
2021-04-27,40,51
2021-04-28,38,83
2021-04-29,43,65
2021-04-30,43,72
2021-05-01,36,53
2021-05-02,41,45
2021-05-03,27,39
2021-05-04,43,60
2021-05-05,56,60
2021-05-06,46,56
2021-05-07,39,49
2021-05-08,60,73
2021-05-09,43,52
2021-05-10,44,44
2021-05-11,50,57
2021-05-12,45,57
2021-05-13,49,59
2021-05-14,54,65
2021-05-15,39,73
2021-05-16,43,58
2021-05-17,56,75
2021-05-18,56,53
2021-05-19,62,61
2021-05-20,61,67
2021-05-21,53,49
2021-05-22,55,93
2021-05-23,44,68
2021-05-24,32,52
2021-05-25,31,60
2021-05-26,52,67
2021-05-27,63,78
2021-05-28,67,75
2021-05-29,58,60
2021-05-30,42,60
2021-05-31,43,53
2021-06-01,46,45
2021-06-02,51,61
2021-06-03,61,78
2021-06-04,57,73
2021-06-05,62,77
2021-06-06,60,67
2021-06-07,43,57
2021-06-08,43,50
2021-06-09,35,69
2021-06-10,35,84
2021-06-11,44,84
2021-06-12,47,65
2021-06-13,33,47
2021-06-14,28,50
2021-06-15,28,37
2021-06-16,36,74
2021-06-17,36,59
2021-06-18,33,73
2021-06-19,33,66
2021-06-20,31,55
2021-06-21,33,29
2021-06-22,30,40
2021-06-23,62,83
2021-06-24,53,79
